Call_ID,Caller_ID,Receiver_ID,Duration_Seconds,Call_Type,Call_Date,Call_Time,City
46,9930098156,9596443307,621,STD,16-01-2025,23:30:50,Bangalore
47,9314352709,9902771535,674,ISD,07-01-2025,07:36:31,Delhi
48,9387175705,9843543938,334,ISD,29-01-2025,19:25:40,Bangalore
49,9605359488,9362875963,58,Local,20-01-2025,09:26:28,Delhi
50,9391439019,9728775468,155,Local,15-01-2025,02:40:35,Delhi
51,9741735131,9306261691,716,Local,12-01-2025,07:53:32,Delhi
52,9419830651,9492873452,397,STD,05-01-2025,01:45:22,Chennai
53,9978329449,9338172064,911,ISD,16-01-2025,20:29:19,Bangalore
54,9558498237,9392554330,889,Local,04-01-2025,02:14:22,Mumbai
55,9973785288,9146807297,506,Local,10-01-2025,01:20:10,Hyderabad
56,9808620677,9575489739,603,Local,31-01-2025,02:37:16,Bangalore
57,9443656911,9401815885,52,ISD,18-01-2025,09:06:33,Mumbai
58,9211395471,9960932966,76,Local,28-01-2025,12:09:49,Mumbai
59,9692259159,9225589365,103,Local,23-01-2025,11:46:59,Bangalore
60,9980707209,9904962981,169,Local,27-01-2025,05:20:23,Mumbai
61,9124988662,9635836811,91,ISD,08-01-2025,05:58:56,Mumbai
62,9858909599,9455662504,219,STD,21-01-2025,09:37:20,Mumbai
63,9815471204,9795512494,641,Local,02-01-2025,13:42:09,Bangalore
64,9805788648,9548384031,513,STD,10-01-2025,23:45:26,Hyderabad
65,9213673133,9197465880,918,Local,11-01-2025,03:08:59,Mumbai
66,9621009826,9718201064,633,STD,01-01-2025,09:22:39,Mumbai
67,9415609986,9617987725,710,ISD,07-01-2025,11:48:57,Mumbai
68,9548397064,9539409002,983,STD,07-01-2025,17:43:44,Delhi
69,9421417363,9863522042,811,STD,19-01-2025,09:36:44,Hyderabad
70,9508546989,9413096504,529,STD,21-01-2025,03:05:27,Delhi
71,9344516576,9212278959,618,STD,01-01-2025,13:59:13,Hyderabad
72,9756412604,9106279047,452,ISD,01-01-2025,09:41:43,Chennai
73,9424366893,9665411134,274,ISD,11-01-2025,00:03:27,Hyderabad
74,9975026703,9979242005,162,Local,12-01-2025,21:51:52,Bangalore
75,9839013920,9059036494,909,Local,14-01-2025,21:33:53,Delhi
76,9972875876,9127604143,125,STD,24-01-2025,23:58:42,Delhi
77,9762795779,9546619573,136,ISD,08-01-2025,05:37:23,Bangalore
78,9903533590,9454592575,506,Local,27-01-2025,01:11:11,Hyderabad
79,9665044764,9194743621,898,Local,13-01-2025,23:16:16,Hyderabad
80,9206286784,9150132362,159,ISD,31-01-2025,09:59:44,Mumbai
81,9457234135,9198437432,726,ISD,29-01-2025,07:12:35,Delhi
82,9055350025,9756009863,508,Local,13-01-2025,23:57:23,Mumbai
83,9055325213,9610565245,205,ISD,03-01-2025,02:51:06,Delhi
84,9329987490,9623558321,576,ISD,27-01-2025,05:40:10,Delhi
85,9197396168,9805945276,683,Local,23-01-2025,16:33:24,Bangalore
86,9667090184,9234685229,512,STD,01-01-2025,17:51:54,Chennai
87,9736075099,9473394584,471,Local,12-01-2025,17:20:44,Chennai
88,9565462049,9087454532,731,STD,16-01-2025,11:14:29,Mumbai
89,9821968790,9147847751,610,STD,25-01-2025,23:02:04,Chennai
90,9468616010,9814650563,757,ISD,17-01-2025,06:33:18,Mumbai
91,9260221380,9841309317,746,STD,02-01-2025,08:56:37,Delhi
92,9911163790,9095483399,417,ISD,21-01-2025,18:40:50,Bangalore
93,9354663263,9582221647,882,STD,06-01-2025,12:08:32,Hyderabad
94,9778976096,9854178136,63,Local,19-01-2025,20:41:13,Mumbai
95,9074768990,9299379396,486,STD,31-01-2025,16:15:35,Hyderabad
96,9554565328,9512071432,97,STD,08-01-2025,07:21:59,Chennai
97,9330715975,9755222882,506,ISD,25-01-2025,17:15:32,Hyderabad
98,9703138287,9976770922,914,ISD,23-01-2025,03:26:24,Mumbai
99,9605655724,9088382937,169,STD,15-01-2025,16:54:58,Bangalore
100,9187551854,9461570069,585,Local,28-01-2025,16:13:47,Hyderabad
101,9614583077,9461746870,724,ISD,23-01-2025,03:49:26,Mumbai
102,9454031391,9674923635,624,ISD,18-01-2025,13:14:00,Chennai
103,9983032349,9805123434,872,Local,23-01-2025,01:15:06,Chennai
104,9404216535,9920211998,334,ISD,30-01-2025,07:01:22,Hyderabad
105,9181543580,9264135129,615,Local,02-01-2025,22:32:17,Mumbai
106,9063074749,9656818230,533,STD,24-01-2025,02:58:17,Hyderabad
107,9176304596,9461218712,906,ISD,28-01-2025,00:14:24,Chennai
108,9877986427,9224175211,524,ISD,24-01-2025,16:18:40,Hyderabad
109,9718164608,9873661572,949,Local,22-01-2025,22:43:32,Chennai
110,9433047273,9920439857,301,STD,01-01-2025,09:00:53,Delhi
111,9421987145,9827445502,569,ISD,23-01-2025,05:40:29,Chennai
112,9188931641,9367302550,158,Local,18-01-2025,12:03:52,Bangalore
113,9713858418,9352462882,500,ISD,02-01-2025,10:17:45,Bangalore
114,9131431801,9688763075,925,ISD,27-01-2025,09:49:49,Bangalore
115,9168249163,9816419223,365,STD,29-01-2025,00:05:08,Chennai
116,9196209400,9840215033,309,Local,06-01-2025,13:33:05,Hyderabad
117,9491380075,9453868014,29,ISD,03-01-2025,14:07:20,Chennai
118,9540558729,9066076536,637,ISD,31-01-2025,11:27:52,Chennai
119,9094678037,9963527790,563,ISD,09-01-2025,22:32:36,Hyderabad
120,9557432581,9188784186,225,Local,19-01-2025,22:35:55,Hyderabad
121,9055916949,9333390477,207,STD,23-01-2025,19:32:39,Hyderabad
122,9398437343,9688056643,849,STD,27-01-2025,20:41:03,Mumbai
123,9184228242,9350094214,677,STD,17-01-2025,05:07:57,Chennai
124,9438576138,9112879817,300,Local,23-01-2025,01:10:07,Mumbai
125,9957141372,9285565270,953,ISD,14-01-2025,09:07:59,Delhi
126,9817544677,9390864838,399,STD,06-01-2025,08:29:46,Chennai
127,9440850934,9934530907,152,Local,28-01-2025,01:01:50,Chennai
128,9741333011,9224853346,25,ISD,17-01-2025,10:54:14,Mumbai
129,9346070699,9266801718,137,STD,06-01-2025,20:59:12,Delhi
130,9459477648,9880638779,78,STD,08-01-2025,03:07:19,Mumbai
131,9218915235,9464270519,895,Local,22-01-2025,19:20:11,Hyderabad
132,9963294581,9578636802,258,ISD,07-01-2025,19:37:31,Delhi
133,9227728033,9673032626,317,STD,03-01-2025,13:52:15,Bangalore
134,9682715325,9331119395,278,STD,28-01-2025,01:40:50,Hyderabad
135,9111101730,9220028823,85,Local,29-01-2025,03:13:29,Hyderabad
136,9839917829,9932481622,476,STD,18-01-2025,13:36:21,Chennai
137,9632981367,9617737556,702,STD,01-01-2025,07:57:32,Chennai
138,9867927675,9792913177,218,ISD,10-01-2025,18:53:28,Hyderabad
139,9845530005,9928252906,539,ISD,22-01-2025,14:40:36,Chennai
140,9391683113,9725742818,491,Local,23-01-2025,16:47:55,Chennai
141,9933109504,9142806361,329,Local,18-01-2025,01:14:46,Mumbai
142,9701632815,9316607654,903,ISD,30-01-2025,22:07:46,Delhi
143,9657603576,9644594474,208,Local,12-01-2025,08:36:32,Hyderabad
144,9286254320,9163269598,290,STD,15-01-2025,08:21:17,Chennai
145,9216093216,9138673008,75,STD,18-01-2025,02:28:37,Delhi
146,9499619122,9496044770,565,Local,18-01-2025,19:54:49,Hyderabad
147,9022783960,9873417765,810,Local,27-01-2025,20:19:23,Delhi
148,9416306158,9702433038,222,STD,11-01-2025,22:16:44,Chennai
149,9807249172,9007930392,564,ISD,21-01-2025,21:06:13,Delhi
150,9933330319,9632638684,527,ISD,30-01-2025,07:41:25,Bangalore
151,9718376237,9324853408,772,ISD,23-01-2025,02:59:18,Hyderabad
152,9044841442,9026188812,553,Local,28-01-2025,09:11:28,Delhi
153,9074199451,9048229408,304,ISD,03-01-2025,23:28:26,Chennai
154,9551857934,9297116122,369,STD,11-01-2025,18:48:01,Delhi
155,9502289720,9968580096,349,Local,09-01-2025,19:44:17,Hyderabad
156,9382338527,9455237522,570,STD,27-01-2025,22:18:56,Hyderabad
157,9543787808,9898012649,148,ISD,31-01-2025,10:59:17,Hyderabad
158,9340632046,9760682465,148,ISD,05-01-2025,15:21:28,Bangalore
159,9562586890,9140252808,554,Local,25-01-2025,03:09:49,Hyderabad
160,9560338017,9647431191,956,Local,09-01-2025,16:34:46,Chennai
161,9360580613,9684097093,518,ISD,08-01-2025,02:56:23,Mumbai
162,9303080168,9534681580,709,ISD,26-01-2025,09:59:58,Chennai
163,9627169238,9392869030,582,Local,31-01-2025,22:53:51,Chennai
164,9788365157,9943012421,247,ISD,06-01-2025,22:17:58,Delhi
165,9546796990,9791304136,120,Local,18-01-2025,22:45:27,Delhi
166,9108837412,9725651005,839,Local,16-01-2025,18:01:57,Mumbai
167,9506198608,9899828239,266,Local,16-01-2025,11:42:23,Chennai
168,9043920974,9313957623,837,ISD,23-01-2025,15:33:19,Delhi
169,9565976160,9368880283,457,STD,26-01-2025,09:28:31,Delhi
170,9097947594,9296965219,45,ISD,04-01-2025,16:50:03,Chennai
171,9447592281,9475101784,182,STD,10-01-2025,02:08:55,Chennai
172,9728296777,9551978876,264,STD,23-01-2025,07:15:19,Bangalore
173,9676330156,9481088318,979,Local,17-01-2025,00:53:16,Chennai
174,9586625957,9199252474,669,ISD,07-01-2025,16:01:47,Hyderabad
175,9257484381,9284591214,435,ISD,29-01-2025,16:41:57,Bangalore
176,9659034778,9581826163,330,STD,20-01-2025,00:30:28,Chennai
177,9027106863,9600054132,369,STD,23-01-2025,19:44:34,Mumbai
178,9986145177,9825088253,407,Local,10-01-2025,11:43:32,Chennai
179,9520046296,9325619117,593,ISD,31-01-2025,10:53:42,Delhi
180,9832123826,9558469708,56,STD,09-01-2025,15:11:41,Hyderabad
181,9544297523,9903020206,101,ISD,10-01-2025,07:01:20,Chennai
182,9910779750,9194948730,175,ISD,02-01-2025,13:15:43,Delhi
183,9403515549,9151384889,708,STD,28-01-2025,16:14:30,Bangalore
184,9143405344,9909661182,872,Local,01-01-2025,13:57:30,Delhi
185,9272197316,9786059147,117,STD,16-01-2025,04:33:22,Mumbai
186,9323978225,9596312277,445,STD,14-01-2025,09:42:44,Hyderabad
187,9246447515,9495750299,735,ISD,19-01-2025,01:02:25,Hyderabad
188,9794103335,9020949132,921,Local,31-01-2025,07:56:52,Bangalore
189,9958730462,9355019137,584,STD,20-01-2025,08:09:29,Delhi
190,9705538114,9891157749,679,ISD,13-01-2025,16:40:52,Chennai
191,9044338773,9673820920,207,ISD,28-01-2025,01:01:03,Delhi
192,9218246946,9240227295,614,ISD,23-01-2025,13:15:16,Hyderabad
193,9919671598,9517804370,835,ISD,02-01-2025,06:12:49,Mumbai
194,9550592598,9002349560,138,STD,02-01-2025,18:24:18,Mumbai
195,9291028877,9780426262,785,STD,22-01-2025,12:40:35,Mumbai
196,9290163432,9158426154,284,ISD,29-01-2025,04:32:25,Bangalore
197,9970413519,9367908287,187,ISD,28-01-2025,07:31:20,Chennai
198,9024813105,9102642546,612,Local,09-01-2025,08:27:12,Bangalore
199,9296309428,9685970756,807,Local,19-01-2025,14:30:05,Hyderabad
200,9096401036,9427858860,678,ISD,07-01-2025,04:06:43,Mumbai
201,9112364015,9728269530,837,ISD,01-01-2025,07:43:36,Delhi
202,9657382496,9429658464,567,STD,18-01-2025,05:51:23,Mumbai
203,9651292866,9248489778,207,ISD,13-01-2025,20:14:47,Delhi
204,9306361837,9874834279,531,STD,07-01-2025,19:22:48,Delhi
205,9071037702,9380064914,609,STD,16-01-2025,20:27:55,Mumbai
206,9813500482,9389426835,543,ISD,07-01-2025,14:46:22,Bangalore
207,9161859539,9410166338,44,ISD,28-01-2025,04:51:25,Mumbai
208,9158602582,9871448353,90,STD,18-01-2025,14:35:22,Mumbai
209,9378107308,9785678374,765,ISD,08-01-2025,18:59:24,Hyderabad
210,9360580518,9062295755,33,Local,27-01-2025,18:29:35,Chennai
211,9119851184,9005996148,823,ISD,19-01-2025,21:42:00,Chennai
212,9736833816,9631278232,218,STD,27-01-2025,01:06:06,Bangalore
213,9541391772,9454078108,55,Local,28-01-2025,23:16:35,Delhi
214,9655868105,9135176386,480,STD,14-01-2025,18:49:41,Chennai
215,9659554684,9360907296,408,ISD,15-01-2025,13:45:29,Bangalore
216,9657349925,9527701463,665,Local,05-01-2025,18:41:17,Chennai
217,9616638693,9717964566,967,Local,01-01-2025,15:22:34,Bangalore
218,9463931873,9993604533,446,ISD,29-01-2025,06:08:13,Delhi
219,9393197102,9939110565,443,ISD,24-01-2025,16:22:02,Chennai
220,9406062195,9999141579,430,ISD,23-01-2025,11:16:52,Mumbai
221,9871646817,9586327537,970,STD,31-01-2025,17:33:38,Chennai
222,9872190390,9241315704,818,STD,27-01-2025,04:38:47,Bangalore
223,9942259726,9968502667,657,STD,31-01-2025,15:09:36,Chennai
224,9034207132,9226879859,623,Local,08-01-2025,16:54:03,Hyderabad
225,9490668606,9967707559,899,STD,10-01-2025,15:28:46,Chennai
226,9342621536,9931963803,996,ISD,17-01-2025,20:03:01,Bangalore
227,9861266118,9489731567,659,Local,01-01-2025,16:01:13,Hyderabad
228,9552245194,9789549491,152,Local,14-01-2025,15:21:02,Chennai
229,9959384229,9561745700,484,STD,23-01-2025,17:03:02,Chennai
230,9187332055,9672128315,517,Local,27-01-2025,07:14:13,Mumbai
231,9496969383,9521751121,499,Local,13-01-2025,12:22:09,Chennai
232,9514409475,9469618771,783,ISD,07-01-2025,16:51:10,Bangalore
233,9049168715,9542245989,710,STD,23-01-2025,14:29:48,Delhi
234,9692761023,9187959343,308,Local,18-01-2025,09:07:44,Bangalore
235,9557783966,9461412656,27,STD,18-01-2025,00:45:41,Mumbai
236,9303072359,9624580893,287,Local,25-01-2025,14:43:57,Mumbai
237,9307225207,9341695686,785,Local,18-01-2025,01:22:33,Bangalore
238,9382303483,9311305214,882,ISD,23-01-2025,16:51:50,Bangalore
239,9188270993,9198332999,607,ISD,16-01-2025,10:18:56,Chennai
240,9643530802,9752982290,910,Local,04-01-2025,16:17:26,Delhi
241,9187738512,9754823451,985,STD,13-01-2025,09:22:52,Chennai
242,9724339511,9545659725,651,STD,18-01-2025,17:00:27,Hyderabad
243,9952396162,9933928828,623,STD,21-01-2025,00:52:46,Bangalore
244,9943102774,9062041530,803,Local,29-01-2025,05:50:52,Mumbai
245,9026309494,9891867359,158,Local,13-01-2025,15:16:31,Mumbai
246,9230818012,9039907731,488,ISD,14-01-2025,17:52:38,Delhi
247,9068213788,9374375917,613,ISD,07-01-2025,21:31:27,Hyderabad
248,9631755882,9156580249,325,ISD,20-01-2025,10:34:55,Bangalore
249,9826566476,9313366939,96,ISD,04-01-2025,22:12:34,Delhi
250,9895379619,9467938019,376,STD,11-01-2025,22:58:59,Bangalore
251,9929053532,9488299782,528,Local,20-01-2025,15:27:51,Mumbai
252,9758135274,9480683878,50,STD,28-01-2025,23:50:12,Mumbai
253,9295824223,9134942031,973,Local,09-01-2025,15:41:50,Mumbai
254,9842387937,9340385777,67,STD,27-01-2025,15:00:02,Hyderabad
255,9176490270,9524170556,315,STD,09-01-2025,05:50:39,Delhi
256,9790585873,9399200616,101,Local,01-01-2025,15:47:13,Chennai
257,9372861095,9250741425,932,Local,03-01-2025,04:38:25,Hyderabad
258,9770732196,9489930335,55,Local,02-01-2025,20:37:22,Chennai
259,9415729112,9912074605,49,STD,18-01-2025,16:34:03,Mumbai
260,9629922095,9668599357,237,Local,30-01-2025,22:43:27,Hyderabad
261,9818236358,9774714897,802,Local,06-01-2025,17:17:33,Chennai
262,9204454543,9185277990,863,Local,28-01-2025,05:05:29,Hyderabad
263,9117308852,9166318948,475,Local,11-01-2025,18:04:23,Bangalore
264,9620098613,9945875154,703,STD,16-01-2025,22:36:19,Mumbai
265,9225819732,9050419314,695,ISD,04-01-2025,05:11:42,Bangalore
266,9050385116,9212839970,627,STD,10-01-2025,05:55:39,Delhi
267,9389703843,9566210183,548,ISD,15-01-2025,06:09:03,Bangalore
268,9236890594,9298501041,29,ISD,01-01-2025,22:54:19,Delhi
269,9169334749,9412546183,108,STD,04-01-2025,20:39:45,Delhi
270,9370733958,9140164879,864,Local,16-01-2025,23:55:49,Chennai
271,9292538845,9331950060,93,ISD,27-01-2025,17:26:30,Bangalore
272,9884727537,9695326724,57,Local,11-01-2025,22:14:49,Chennai
273,9171782313,9695566409,474,STD,13-01-2025,08:34:35,Hyderabad
274,9798924131,9588179086,757,Local,03-01-2025,22:02:19,Bangalore
275,9474107603,9756642932,943,STD,06-01-2025,16:25:15,Chennai
276,9091455378,9532056317,321,ISD,17-01-2025,23:41:29,Bangalore
277,9562513622,9225520919,630,Local,01-01-2025,17:05:44,Delhi
278,9353082009,9309192121,716,STD,26-01-2025,23:21:09,Mumbai
279,9181457191,9056190562,171,Local,15-01-2025,21:18:45,Bangalore
280,9174995339,9877891092,201,Local,02-01-2025,09:59:24,Mumbai
281,9649148290,9822135185,351,ISD,16-01-2025,12:05:59,Bangalore
282,9834781044,9602783899,736,Local,22-01-2025,20:32:34,Hyderabad
283,9065410500,9022021704,173,Local,24-01-2025,03:00:24,Bangalore
284,9997287528,9790492614,804,ISD,25-01-2025,05:27:02,Hyderabad
285,9960103524,9463429734,280,Local,11-01-2025,07:33:43,Bangalore
286,9440438630,9407700387,900,ISD,10-01-2025,04:05:54,Bangalore
287,9391462989,9912563746,869,Local,14-01-2025,13:41:44,Mumbai
288,9265438433,9667691699,938,Local,08-01-2025,15:59:22,Mumbai
289,9089503343,9109724217,824,STD,25-01-2025,21:27:57,Chennai
290,9196365432,9376992378,285,STD,18-01-2025,10:16:10,Delhi
291,9935606232,9204393856,526,ISD,22-01-2025,17:15:14,Delhi
292,9875005219,9014688191,263,Local,06-01-2025,06:48:26,Bangalore
293,9446807162,9073188343,939,ISD,05-01-2025,06:17:55,Mumbai
294,9453975330,9539101876,454,Local,25-01-2025,13:28:07,Mumbai
295,9596364986,9321803835,898,STD,30-01-2025,19:27:24,Chennai
296,9730532111,9465531304,556,ISD,11-01-2025,08:15:52,Hyderabad
297,9938216723,9314249534,152,STD,14-01-2025,06:21:21,Mumbai
298,9749957668,9903541774,529,ISD,15-01-2025,12:14:43,Delhi
299,9883566179,9135683025,984,ISD,12-01-2025,00:15:07,Bangalore
300,9467982627,9785275564,426,Local,07-01-2025,18:47:36,Hyderabad
301,9201090438,9035925667,660,Local,29-01-2025,20:34:49,Bangalore
302,9637623141,9030146305,265,Local,14-01-2025,20:09:22,Hyderabad
303,9859228366,9102318823,619,Local,06-01-2025,12:50:02,Hyderabad
304,9566250523,9503961563,274,STD,02-01-2025,18:45:13,Hyderabad
305,9363467513,9585106624,91,Local,09-01-2025,01:37:42,Hyderabad
306,9833545366,9224512718,555,Local,09-01-2025,15:19:17,Hyderabad
307,9735765594,9332210027,324,Local,16-01-2025,19:37:03,Bangalore
308,9353506752,9853183180,195,ISD,18-01-2025,21:30:55,Bangalore
309,9575229867,9708246513,916,Local,02-01-2025,08:04:28,Mumbai
310,9080560168,9070247968,871,ISD,13-01-2025,13:49:43,Hyderabad
311,9635782473,9410250195,353,STD,12-01-2025,18:36:53,Delhi
312,9138414360,9033995791,384,STD,24-01-2025,20:02:19,Chennai
313,9504201946,9929807046,265,STD,21-01-2025,10:13:02,Delhi
314,9111418598,9575730327,717,STD,24-01-2025,02:31:22,Delhi
315,9852659600,9221643164,214,STD,25-01-2025,04:30:06,Mumbai
316,9434940222,9122530434,863,STD,04-01-2025,21:52:37,Chennai
317,9955315577,9073196383,501,Local,05-01-2025,22:36:07,Mumbai
318,9496871505,9517343515,381,STD,30-01-2025,18:48:12,Bangalore
319,9208629452,9324747277,719,ISD,17-01-2025,13:18:20,Chennai
320,9541978734,9320358477,440,Local,04-01-2025,17:17:29,Mumbai
321,9990229609,9387911547,756,STD,22-01-2025,13:43:42,Bangalore
322,9512581781,9811844539,734,STD,27-01-2025,21:00:01,Chennai
323,9989235653,9285456887,377,ISD,06-01-2025,10:52:43,Mumbai
324,9063015161,9288271886,747,STD,06-01-2025,14:00:29,Delhi
325,9229238280,9339148271,968,ISD,31-01-2025,13:50:50,Bangalore
326,9978757739,9877228649,536,STD,18-01-2025,15:37:56,Hyderabad
327,9411984132,9124184406,458,STD,07-01-2025,20:13:28,Mumbai
328,9305317201,9115615709,990,Local,14-01-2025,20:59:20,Mumbai
329,9804610850,9713661104,741,ISD,27-01-2025,13:05:59,Chennai
330,9906498413,9809641408,818,Local,24-01-2025,14:44:17,Mumbai
331,9658824071,9864189372,228,ISD,27-01-2025,11:36:28,Delhi
332,9642647258,9670630703,788,Local,16-01-2025,13:01:17,Bangalore
333,9841487102,9653622998,681,STD,13-01-2025,09:30:18,Delhi
334,9375569285,9630670724,260,Local,31-01-2025,05:03:17,Chennai
335,9291603914,9760960811,452,ISD,03-01-2025,02:16:18,Mumbai
336,9120318868,9555733692,216,ISD,14-01-2025,21:32:36,Delhi
337,9492252722,9471600002,468,Local,19-01-2025,01:03:19,Hyderabad
338,9209078522,9340816406,264,STD,15-01-2025,23:51:58,Mumbai
339,9786107727,9949520203,998,Local,21-01-2025,07:12:09,Hyderabad
340,9559569252,9115514508,143,STD,30-01-2025,14:58:30,Delhi
341,9017327383,9072692133,581,ISD,22-01-2025,20:40:13,Bangalore
342,9333717440,9615207648,243,STD,18-01-2025,09:45:10,Chennai
343,9051722476,9083130590,696,STD,18-01-2025,03:23:18,Mumbai
344,9817582211,9738658735,561,Local,05-01-2025,11:32:24,Hyderabad
345,9530777141,9203959951,882,ISD,13-01-2025,03:16:32,Hyderabad
346,9158195786,9295317317,81,STD,23-01-2025,09:27:02,Hyderabad
347,9132856304,9387861404,591,ISD,14-01-2025,14:35:43,Chennai
348,9764376083,9126285564,815,STD,07-01-2025,16:13:53,Mumbai
349,9447887258,9300326827,179,STD,18-01-2025,05:41:05,Delhi
350,9600629093,9136923435,629,Local,04-01-2025,07:18:47,Chennai
351,9355710087,9817943727,449,Local,09-01-2025,08:39:57,Bangalore
352,9966603352,9329189032,681,ISD,29-01-2025,10:54:26,Bangalore
353,9080299888,9543674053,450,ISD,12-01-2025,19:02:36,Hyderabad
354,9157376014,9948938808,569,ISD,27-01-2025,05:15:06,Delhi
355,9867029489,9705562862,134,STD,30-01-2025,06:48:57,Bangalore
356,9491871976,9940216798,554,STD,23-01-2025,08:54:28,Bangalore
357,9285830417,9136817579,84,ISD,12-01-2025,08:33:51,Hyderabad
358,9352044954,9174826818,592,ISD,04-01-2025,22:27:36,Hyderabad
359,9291111505,9707864409,499,ISD,25-01-2025,01:34:02,Bangalore
360,9591630284,9336306512,157,Local,18-01-2025,09:44:28,Bangalore
361,9786777866,9027531938,436,ISD,12-01-2025,01:24:41,Chennai
362,9722932302,9616784229,75,STD,02-01-2025,20:41:11,Delhi
363,9175247300,9752575300,793,STD,17-01-2025,07:37:17,Hyderabad
364,9275506162,9041815973,212,ISD,22-01-2025,16:44:32,Bangalore
365,9220423725,9957036963,619,ISD,05-01-2025,01:26:34,Chennai
366,9071256523,9679898795,900,STD,29-01-2025,18:10:14,Delhi
367,9990276222,9864551724,34,STD,15-01-2025,17:19:14,Mumbai
368,9978006139,9563621809,785,STD,02-01-2025,20:40:55,Hyderabad
369,9548430388,9638760034,773,ISD,18-01-2025,16:28:08,Delhi
370,9356495260,9259963140,492,Local,04-01-2025,11:25:28,Chennai
371,9910741484,9403224819,670,Local,09-01-2025,08:09:47,Mumbai
372,9743968255,9158371437,244,ISD,27-01-2025,18:34:43,Bangalore
373,9529852630,9277463002,120,Local,28-01-2025,11:12:24,Chennai
374,9436134813,9805891749,293,ISD,01-01-2025,17:13:34,Mumbai
375,9359008879,9902368702,93,ISD,05-01-2025,09:57:25,Mumbai
376,9045936516,9600484375,471,STD,17-01-2025,09:17:32,Delhi
377,9184475091,9268959033,296,STD,19-01-2025,19:41:01,Mumbai
378,9943036394,9747699798,668,STD,14-01-2025,02:59:54,Chennai
379,9878246549,9981619527,322,STD,02-01-2025,12:06:45,Mumbai
380,9359738223,9136476411,30,STD,13-01-2025,05:58:16,Chennai
381,9091827055,9710580479,897,STD,11-01-2025,06:14:34,Chennai
382,9290975798,9556927900,416,ISD,08-01-2025,21:24:26,Bangalore
383,9129566753,9138251846,934,ISD,31-01-2025,17:22:14,Hyderabad
384,9132440584,9042074152,678,ISD,01-01-2025,01:48:28,Delhi
